original_order	job_name	job_order	name	non_normal	in_game_description	sp_cost	effect_type	target	invocation_ratio	Boost: None	Boost: Lv 2	Boost: Lv 3	Boost: MAX	defense_modifier	Overall multiplier: No Boost	Overall multiplier: Max	notes	skill_all	convergence	diffusion	reflection	counter	hide_out	repeat	cover	disable_magic	enchant	chase_attack
36	Warrior	5	Cross Strike		Unleash a sword attack on a single foe	12	Sword	One enemy	150	100	200	300	400	0.667	1.5	6		TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
37	Warrior	6	Stout Wall		Increase the user's physical defence for 3 turns	4	Buff	Self		3 turns	5 turns	7 turns	9 turns				Grants P.Def up buff (2/3x physical damage taken)			TRUE				TRUE				
38	Warrior	7	Thousand Spears		Attack random foes with a polearm 5 to 10 times	20	Polearm	All enemies (random)	80	80	110	140	170	1.25	0.64	1.36	-90 hit ratio at no boost, rising by 10 for each boost level up to -60 at max boost. Boosting does seem to improve accuracy considerably, as does your aim stat, though it is believed the enemies evade does not factor in to accuracy. No matter what, will always land a minimum of 3 hits.	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
39	Warrior	8	Brand's Thunder		[DS] Unleash a tremendously powerful sword attack on a single foe.	30	Sword	One enemy	170				600	0.589		10.2						TRUE	TRUE		TRUE		TRUE	
40	Dancer	1	Lion Dance		One ally's physical attacks become more powerful for 2 turns		Buff	One ally		2 turns	4 turns	6 turns	8 turns				Grants P.Atk up buff (1.5x physical damage)	TRUE						TRUE				
41	Dancer	2	Moonlight Waltz		Deal heavy dark damage to a single foe.	7	Dark	One enemy	130	100	200	300	400	0.769	1.3	5.2		TRUE			TRUE			TRUE				
42	Dancer	3	Peacock Strut		Augment a single ally's elemental attacks for 2 turns	4	Buff	One ally		2 turns	4 turns	6 turns	8 turns				Grants E.Atk up buff (1.5x elemental damage)	TRUE						TRUE				
43	Dancer	4	Mole Dance		Augment a single ally's physical defence for 2 turns	4	Buff	One ally		2 turns	4 turns	6 turns	8 turns				Grants P.Def up buff (2/3x physical damage taken)	TRUE						TRUE				
44	Dancer	5	Night Ode		Deal dark damage to all foes	10	Dark	All enemies	105	100	190	280	370	0.952	1.05	3.885			TRUE		TRUE			TRUE		TRUE		
45	Dancer	6	Panther Dance		Increase a single ally's speed for 2 turns.	4	Buff	One ally		2 turns	4 turns	6 turns	8 turns				Grants Speed up buff (1.5x speed in battle).	TRUE						TRUE				
46	Dancer	7	Bewildering Grace		Cause a curious effect to occur one time.	25	Varies	Varies									Higher Boost tends to add more dramatic effects (bigger good effects, bigger bad effects). Of note you can only get JPx100 or EXPx100 at max boost. See Readme for link to table of effects							TRUE				
47	Dancer	8	Sealticge's Seduction		[DS] For 3 turns, skills performed by a single ally that usually target one foe will affect all foes instead. (This will not affect divine skills)	30	Buff	One ally					3 turns				Despite the description, this also causes all abilities that target one ally to instead target all allies as well. See the "Skill All" flag on the right to see what abilities it affects.											
48	Apothecary	1	First Aid		Restore HP to a single ally.	4	Healing	One ally	150	250	350	450	550		3.75	8.25		TRUE						TRUE				
49	Apothecary	2	Icicle		Deal ice damage to a single foe.	7	Ice	One enemy	130	100	200	300	400	0.769	1.3	5.2		TRUE			TRUE			TRUE				
50	Apothecary	3	Rehabilitate		Cure a single ally of all status ailments, and render them immune to further ailments for 2 turns	10	Buff	One ally		2 turns	4 turns	6 turns	8 turns				Only affects status ailments. Does not affect debuffs.	TRUE						TRUE				
51	Apothecary	4	Amputation		Unleash an axe attack on a single foe	8	Axe	One enemy	150	100	200	300	400	0.667	1.5	6	Has a -40 hit ratio penalty but +100 critical ratio bonus, meaning it is significantly less accuracy but criticals considerably more often. Note that you cannot typically miss a broken enemy	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
52	Apothecary	5	Empoison		Poison a single foe for 2 turns	6	Debuff	One enemy		2 turns	4 turns	6 turns	8 turns				Poison deals just over 1/6th max HP as damage each turn to generic enemies, 1/100th max HP to bosses, and 1/20th max HP to challenges.	TRUE						TRUE				TRUE
53	Apothecary	6	Vivify		Revive a single incapacitated ally	16	Healing	One ally	200	100	200	300	400		2	8	Only affects dead allies.	TRUE						TRUE				
54	Apothecary	7	Last Stand		Attack all foes with an axe, dealing damage inversely proportional to your current HP	16	Axe	All enemies	110	100	200	300	400	0.909	1.1	4.4	Has a +50 hit ratio, making it very accurate. When HP is less than half, damage is multiplied by 1 + 1.5 x (Max HP - Current HP x 2) / Max HP. E.g. at 40% HP, 1.3x multiplier. At 20%, 1.9x multiplier. At near 0%, 2.5x multiplier.					TRUE	TRUE	TRUE			TRUE	
55	Apothecary	8	Dohter's Charity		[DS] For 3 turns, items used by a single chosen ally will affect all.	30	Buff	One ally					3 turns				Works with Alfyn's Concoct, as well as items that affect a single enemy. See Item All flag column.											
56	Thief	1	Steal		Steal an item from a single foe	2	Buff	One enemy		5%	15%	35%	95%				Odds of success vary with enemy HP. Success % rate is: (100 - 100 x enemy current HP / enemy max HP) + Ability Ratio bonus. Item stolen varies by enemy.	TRUE						TRUE				TRUE
57	Thief	2	Wildfire		Deal heavy fire damage to a single foe.	7	Fire	One enemy	130	100	200	300	400	0.769	1.3	5.2		TRUE			TRUE			TRUE				
58	Thief	3	HP Thief		Attack a single foe twice with a dagger, and steal HP equivalent to half of the damage dealt	6	Dagger	One enemy	110	100	180	260	340	0.909	2.2	7.48	If the attack kills, HP recovered = half the defeated foe's remaining HP	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
59	Thief	4	Shackle Foe		Reduce a single foe's physical attack strength for 2 turns.	4	Debuff	One enemy		2 turns	4 turns	6 turns	8 turns				Inflicts P.Atk down on enemy (0.67x physical damage dealt)	TRUE						TRUE				TRUE
60	Thief	5	Armour Corrosive		Reduce a single foe's physical defence for 2 turns.	4	Debuff	One enemy		2 turns	4 turns	6 turns	8 turns				Inflicts P.Def down on enemy (1.5x physical damage taken)	TRUE						TRUE				TRUE
61	Thief	6	Steal SP		Attack a single foe twice with a dagger, and steal SP equivalent to 5% of the damage dealt	6	Dagger	One enemy	110	100	180	260	340	0.909	2.2	7.48	If the attack kills, SP recovered = 5% of the defeated foe's remaining HP	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
62	Thief	7	Share SP		Bestow SP equivalent to 50% of one's current SP to a single ally	0	Buff	Other ally		50% SP	100% SP	150% SP	200% SP				Can overfill targets SP (remains above max until end of battle). When boosted user will be reduced to 0 SP, but 100%-200% of their current SP will be donated to target							TRUE				
63	Thief	8	Aeber's Reckoning		[DS] Attack all foes with a dagger, dealing damage proportional to your speed	30	Dagger	All enemies	150				500	0.667		7.5	Base damage calculation based on P.Atk as normal. Damage is then multiplied by (1+ Speed / 400). In battle Speed buffs are applied here as well. (Note: This extra damage has been calculated only through testing and not datamine)					TRUE	TRUE				TRUE	
64	Hunter	1	Rain of Arrows		Attack random foes 5 to 8 times with a bow	8	Bow	All enemies (random)	70	80	110	140	170	1.429	0.56	1.19	-90 hit ratio at no boost, rising by 10 for each boost level up to -60 at max boost. Boosting does seem to improve accuracy considerably, as does your aim stat, though it is believed the enemies evade does not factor in to accuracy. No matter what, will always land a minimum of 3 hits.	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
65	Hunter	2	True Strike		Deal critical damage with a bow to a single foe	10	Bow	One enemy	130	100	200	300	400	0.769	1.3	5.2	+30 Hit Ratio and +100 Critical Ratio, but also has a flag set to guarantee criticals anyway	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
66	Hunter	3	Thunderbird		Deal heavy lightning daamge to a single foe	7	Lightning	One enemy	130	100	200	300	400	0.769	1.3	5.2	Does not have a DisableMagic flag	TRUE			TRUE			TRUE				
67	Hunter	4	Leghold Trap		Cause a single foe to act at the end of the turn for 2 turns	6	Debuff	One enemy		2 turns	4 turns	6 turns	8 turns				Does not apply on the current turn. Applies to next turn, including applying to the next turn when it wears off.	TRUE						TRUE				TRUE
68	Hunter	5	Mercy Strike		Attack a single foe with a bow. Otherwise lethal attacks will instead leave the target with 1 HP	4	Bow	One enemy	100	100	200	300	400	1	1	4	Deals at most (enemies current HP - 1) damage. Can deal 0 damage as a result.	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
69	Hunter	6	Arrowstorm		Attack all foes 5 to 8 times with a bow	24	Bow	All enemies	70	75	105	135	165	1.429	0.525	1.155	-90 hit ratio at no boost, rising by 10 for each boost level up to -60 at max boost. Boosting does seem to improve accuracy considerably, as does your aim stat, though it is believed the enemies evade does not factor in to accuracy. No matter what, will always land a minimum of 3 hits.					TRUE	TRUE	TRUE			TRUE	
70	Hunter	7	Take Aim		Increase all allies' critical rate and accuracy for 2 turns	8	Buff	All allies		2 turns	4 turns	6 turns	8 turns				Grants Accuracy up buff (1.5x accuracy) and Critical up buff (1.5x critical)							TRUE				
71	Hunter	8	Draefendi's Rage		[DS] Unleash a highly powerful bow attack on all foes	30	Bow	All enemies	150				500	0.667		7.5						TRUE	TRUE				TRUE	
72	Starseer	1	Shooting Stars		Deal wind, light and dark damage to all foes	35	Wind, Light, Dark	All enemies	105	80	152	226	298	0.952	2.52	9.387	Note that Lv. 3 boost is +74 instead of +72 over previous boost level. This is an error in game, not in this sheet. Attack hits Wind, Light, Dark elements in this order.		TRUE		TRUE			TRUE		TRUE		
73	Starseer	2	BP Boost		Allow a single ally to gain 2 BP per turn for 2 turns.	25	Buff	One ally		2 turns	4 turns	6 turns	8 turns				Additional BP regeneration only takes effect if target didn't boost the previous turn	TRUE						TRUE				
74	Starseer	3	Divination		Increase a single ally's critical hit rate for 2 turns.	25	Buff	One ally		2 turns	4 turns	6 turns	8 turns				Grants guaranteed critical buff to ally - all of their physical attacks will crit, for 1.25x normal damage	TRUE						TRUE				
75	Starseer	4	Starsong		Augment a single ally's physical defence, elemental defence, speed and evasion for 2 turns	25	Buff	One ally		2 turns	4 turns	6 turns	8 turns				Grants all of the buff named separately	TRUE						TRUE				
76	Starseer	5	Celestial Intervention		For 2 turns, render a single foe unable to receive attribute augmentations, or a single ally immune to attribute penalties.	25	Buff	One ally / enemy		2 turns	4 turns	6 turns	8 turns				When affected by Sealticge's Seduction, can target all allies and enemies, granting the buff/debuff to all. Only grants immunity to debuffs, does not protect from status ailments.	TRUE						TRUE				TRUE
77	Starseer	6	Etheral Healing		Grant HP regeneration to all allies for 2 turns	30	Buff	All allies		2 turns	4 turns	6 turns	8 turns				Grants HP regen status, which heals 10% max HP per turn. Same buff as granted by some equipment and skills and does not stack with it.							TRUE		TRUE		
78	Starseer	7	Moon's Reflection		Grant a single ally the ability to counter physical damage one time.	30	Buff	One ally		1 time	2 times	3 times	4 times				Lasts until attacked physically. Does not reflect or prevent damage, just allows a counterattack after. Counterattack is named "Eye for an Eye", same as Dancer support ability	TRUE						TRUE				
79	Starseer	8	Steorra's Prophecy		Unleash an elemental attack on all foes that deals damage proportional to the party's current BP.	50	Elemental	All enemies	150				200	1		3	Multiplies damage by (1 + 0.2 x total party BP). The user spends their BP before triggering the move, so it does not count towards the total - meaning the max bonus is 4.4x with 17 BP.				TRUE							
80	Runelord	1	Fire Rune		Weapons the user attacks with will deal additional fire damage for 3 turns	15	Buff	Self		3 turns	5 turns	7 turns	9 turns				Adds Fiery Pursuit to physical attacks (see Elemental Pursuit below)			TRUE				TRUE				
81	Runelord	2	Ice Rune		Weapons the user attacks with will deal additional ice damage for 3 turns	15	Buff	Self		3 turns	5 turns	7 turns	9 turns				Adds Icy Pursuit to physical attacks (see Elemental Pursuit below)			TRUE				TRUE				
82	Runelord	3	Thunder Rune		Weapons the user attacks with will deal additional lightning damage for 3 turns	15	Buff	Self		3 turns	5 turns	7 turns	9 turns				Adds Shocking Pursuit to physical attacks (see Elemental Pursuit below)			TRUE				TRUE				
83	Runelord	4	Wind Rune		Weapons the user attacks with will deal additional wind damage for 3 turns	15	Buff	Self		3 turns	5 turns	7 turns	9 turns				Adds Windy Pursuit to physical attacks (see Elemental Pursuit below)			TRUE				TRUE				
84	Runelord	5	Dark Rune		Weapons the user attacks with will deal additional dark damage for 3 turns	15	Buff	Self		3 turns	5 turns	7 turns	9 turns				Adds Shadowy Pursuit to physical attacks (see Elemental Pursuit below)			TRUE				TRUE				
85	Runelord	6	Light Rune		Weapons the user attacks with will deal additional light damage for 3 turns	15	Buff	Self		3 turns	5 turns	7 turns	9 turns				Adds Bright Pursuit to physical attacks (see Elemental Pursuit below)			TRUE				TRUE				
86	Runelord	7	Transfer Rune		For 3 turns, skills that normally target yourself alone will target your allies as well.	25	Buff	Self		3 turns	5 turns	7 turns	9 turns				Only affects self targeting moves. See the diffusion flag on right for moves affected.							TRUE				
87	Runelord	8	Balogar's Blade		[DS] Deal damage from each of the six elements (fire, ice, lightning, wind, light, and darkness) to a single foe.	50	All 6 elements	One enemy	100				400	1		24	Order of damage is the same as listed in game.				TRUE							
88	Runelord	9	Elemental Pursuit	TRUE?	none	0	Varies	One enemy	200	400				0.5	8		While Rune buff is active, Pursuit triggers after any physical attack with the Enchant flag, hitting the same enemies the previous attack targeted. Pursuits are not affected by boosting or BP Eater. They trigger once per physical attack attempted, even if that attack hits multiple times. The damage of elemental pursuits is based on the E.Atk of the weapon used for the previous attack. Also has a +100 hit modifier.				TRUE							
89	Warmaster	1	Guardian Liondog		Unleash 5 to 10 sword attacks against random foes	35	Sword	All enemies (random)	80	80	110	140	170	1.25	0.64	1.36	-90 hit ratio at no boost, rising by 10 for each boost level up to -60 at max boost. Boosting does seem to improve accuracy considerably, as does your aim stat, though it is believed the enemies evade does not factor in to accuracy. No matter what, will always land a minimum of 3 hits.	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
90	Warmaster	2	Tiger Rage		Unleash an axe attack on all foes	35	Axe	All enemies	135	100	190	280	370	0.741	1.35	4.995						TRUE	TRUE	TRUE			TRUE	
91	Warmaster	3	Qilin's Horn		Unleash a polearm attack on a single foe	35	Polearm	One enemy	165	110	220	330	440	0.606	1.815	7.26		TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
92	Warmaster	4	Yatagarasu		Unleash a dagger attack on all foes	35	Dagger	All enemies	135	100	190	280	370	0.741	1.35	4.995						TRUE	TRUE	TRUE			TRUE	
93	Warmaster	5	Fox Spirit		Unleash a staff attack on all foes	35	Staff	All enemies	135	100	190	280	370	0.741	1.35	4.995						TRUE	TRUE	TRUE			TRUE	
94	Warmaster	6	Phoenix Storm		Unleash a bow attack on a single foe	35	Bow	One enemy	165	110	220	330	440	0.606	1.815	7.26		TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
95	Warmaster	7	Nightmare Chimera		Unleash an attack on a single foe using a weapon of your choice. The weapon will be destroyed	35	Varies	One enemy	100	40	34	28	24	0.67			Unknown exactly how this works. Seems to be vaguely quadratic damage with the P.Atk of the weapon selected, but not quite. I have no idea what is going on with the ability ratio either, but this is how it is in game.	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
96	Warmaster	8	Winnehild's Battle Cry		[DS] Wield six weapons to unleash six attacks on all foes	50	All 6 weapons	All enemies	140				150	0.8		12.6	Seems to add about half of each weapons P.Atk value to your P.Atk (on top of the normal amount for that weapon) when calculating damage for it. Seems to also be a bit glitchy with regards to damage when breaking and hitting weak points, sometimes damage is calculated as though enemies are not broken at all. Also seems to increase damage slightly more when calculating attacks with very weak/makeshift weapons. Finally, values are approximate. There is likely something else going on with the damage output of this skill that hasn't been discovered yet.					TRUE	TRUE				TRUE	
97	Sorcerer	1	Ignis Ardere		Deal fire damage to all foes 3 times	36	fire	All enemies	105	80	152	226	298	0.952	2.52	9.387	Note that Lv. 3 boost is +74 instead of +72 over previous boost level. This is an error in game, not in this sheet.		TRUE		TRUE			TRUE		TRUE		
98	Sorcerer	2	Glacies Claudere		Deal ice damage to all foes 3 times	36	ice	All enemies	105	80	152	226	298	0.952	2.52	9.387	Note that Lv. 3 boost is +74 instead of +72 over previous boost level. This is an error in game, not in this sheet.		TRUE		TRUE			TRUE		TRUE		
99	Sorcerer	3	Tonitrus Canere		Deal lightning damage to all foes 3 times	36	lightning	All enemies	105	80	152	226	298	0.952	2.52	9.387	Note that Lv. 3 boost is +74 instead of +72 over previous boost level. This is an error in game, not in this sheet.		TRUE		TRUE			TRUE		TRUE		
100	Sorcerer	4	Ventus Saltare		Deal wind damage to all foes 3 times	36	wind	All enemies	105	80	152	226	298	0.952	2.52	9.387	Note that Lv. 3 boost is +74 instead of +72 over previous boost level. This is an error in game, not in this sheet.		TRUE		TRUE			TRUE		TRUE		
101	Sorcerer	5	Lux Congerere		Deal light damage to all foes 3 times	36	light	All enemies	105	80	152	226	298	0.952	2.52	9.387	Note that Lv. 3 boost is +74 instead of +72 over previous boost level. This is an error in game, not in this sheet.		TRUE		TRUE			TRUE		TRUE		
102	Sorcerer	6	Tenebrae Operire		Deal dark damage to all foes 3 times	36	dark	All enemies	105	80	152	226	298	0.952	2.52	9.387	Note that Lv. 3 boost is +74 instead of +72 over previous boost level. This is an error in game, not in this sheet.		TRUE		TRUE			TRUE		TRUE		
103	Sorcerer	7	Elemental Break		Unleash a powerful staff attack on a single foe that also reduces the target's elemental defence for 2 turns	20	Staff	One enemy	150	100	200	300	400	0.667	1.5	6	Also increases debuff duration by 2 turns per BP spent. Inflicts E.Def down debuff on enemy (1.5x elemental damage taken)	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
104	Sorcerer	8	Dreisang's Spell		[DS] For 3 turns, elemental attacks performed by a single chosen ally will hit for critical damage	50	Buff	One ally					3 turns				Enables target to always crit with elemental attacks, for 1.25x damage. That's all it does.											
